#4*3,,,,,,
$A1,A2,A3,A4,B1,B2,B3
0.067327084,0.71209346,0.635456091,0.289126861,0,0,0
0.616470241,0.09605933,0.513558835,0.252233876,0,0,0
0.548195828,0.738179495,0.172730481,0.82111878,0,0,0
0.265119789,0.181776173,0.745731189,0.690565828,0,0,0
0.953029463,0.523582681,0.998596966,0.239605742,0,0,0
0.014812717,0.817584104,0.876126916,0.032709552,0,0,0
0.787940788,0.490977514,0.890186568,0.916146785,0,0,0
0.892272592,0.939413285,0.756442354,0.170033224,0,0,0
0.762805571,0.627603625,0.333611213,0.945128119,0.713498057,0.837154012,0.132111364
0.830112873,0.517216271,0.192280534,0.830246818,0.506682813,0.448287872,0.977464493
0.527685609,0.778017697,0.441974562,0.769694142,0.389819409,0.392167835,0.756940837
